mu,sigma^2,energy,err
0.824052,0.44593,-0.42223,0.000420026
0.831138,0.313232,-0.410725,0.000353261
0.791641,0.383152,-0.444232,0.000249651
0.687801,0.382566,-0.400818,0.000235326
0.687801,0.382566,-0.400818,0.000235326
0.687801,0.382566,-0.400818,0.000235326
0.726832,0.328427,-0.410371,0.000298408
0.726832,0.328427,-0.410371,0.000298408
0.726832,0.328427,-0.410371,0.000298408
0.726832,0.328427,-0.410371,0.000298408
0.726832,0.328427,-0.410371,0.000298408
0.794463,0.298203,-0.397211,0.000372316
0.794463,0.298203,-0.397211,0.000372316
0.794463,0.298203,-0.397211,0.000372316
0.794463,0.298203,-0.397211,0.000372316
0.861652,0.351745,-0.425127,0.000288553
0.861652,0.351745,-0.425127,0.000288553
0.894912,0.40476,-0.403773,0.000467211
0.894912,0.40476,-0.403773,0.000467211
0.894912,0.40476,-0.403773,0.000467211
0.771054,0.313508,-0.414086,0.000353814
0.771054,0.313508,-0.414086,0.000353814
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.825456,0.420194,-0.433787,0.000406804
0.767348,0.383405,-0.440441,0.000235538
0.767348,0.383405,-0.440441,0.000235538
0.767348,0.383405,-0.440441,0.000235538
0.767348,0.383405,-0.440441,0.000235538
0.865658,0.375142,-0.427847,0.000381356
0.841069,0.436117,-0.422156,0.000370931
0.841069,0.436117,-0.422156,0.000370931
0.841069,0.436117,-0.422156,0.000370931
0.68279,0.407725,-0.397131,0.000240166
0.68279,0.407725,-0.397131,0.000240166
0.68279,0.407725,-0.397131,0.000240166
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.709854,0.321956,-0.398229,0.000272073
0.768454,0.33469,-0.429041,0.000264501
0.768454,0.33469,-0.429041,0.000264501
0.768454,0.33469,-0.429041,0.000264501
0.918924,0.370551,-0.387742,0.000413354
0.703271,0.341239,-0.403763,0.000274745
0.703271,0.341239,-0.403763,0.000274745
0.703271,0.341239,-0.403763,0.000274745
0.703271,0.341239,-0.403763,0.000274745
0.806685,0.512532,-0.38655,0.000565366
0.806685,0.512532,-0.38655,0.000565366
0.806685,0.512532,-0.38655,0.000565366
0.806685,0.512532,-0.38655,0.000565366
0.844324,0.494615,-0.383165,0.000556675
0.844324,0.494615,-0.383165,0.000556675
0.844324,0.494615,-0.383165,0.000556675
0.717232,0.487003,-0.397435,0.000397597
0.801737,0.476794,-0.410297,0.000448293
0.801737,0.476794,-0.410297,0.000448293
0.801737,0.476794,-0.410297,0.000448293
0.713465,0.357057,-0.414289,0.000253724
0.713465,0.357057,-0.414289,0.000253724
0.713465,0.357057,-0.414289,0.000253724
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.746161,0.445137,-0.422023,0.000277067
0.70065,0.534441,-0.372882,0.00055358
0.70065,0.534441,-0.372882,0.00055358
0.70065,0.534441,-0.372882,0.00055358
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.714455,0.403907,-0.417658,0.000232812
0.857065,0.404634,-0.427293,0.000348357
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.852248,0.363194,-0.433022,0.000296052
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.824647,0.395735,-0.440299,0.000298585
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
0.752508,0.392434,-0.435721,0.000237188
